,Model,cr,ce,cs,cg,rise_times,errors,energy,rr,re,rs,rg,tot,prr,pre,prs,prg,ptot
0,exp1,1.0,1.0,1.0,1.0,320.1,1.1353888518302175,1543.84228515625,34373.16160854213,-1324.116431132257,162.60000000000002,4.84,33216.48517740987,14.941194950896772,0.9189455994782134,0.1944045911047346,1.0,7.263559255165411
1,exp2,1.0,0.0,0.0,0.0,132.78,1.0405264847736801,4574.6572265625,34671.869661029414,0.0,0.0,0.0,34671.869661029414,17.319870335186305,,,,17.319870335186305
2,exp3,1.0,1.0,5.0,1.0,412.6,1.189972006486373,1689.678466796875,34458.98342784178,-1491.308145743776,572.3000000000002,3.72,33543.695282098,15.558920538646618,0.9273727018072262,0.12940059239830878,1.0,4.069937181168949
3,exp4,1.0,1.0,1.0,5.0,443.06,1.3520103183960435,1315.6673583984375,34021.63649796552,-1133.5597389467155,78.98000000000002,10.629509150981903,32977.68626816978,12.828244740990652,0.9065927083797441,0.08584595987043762,1.0,6.853459818088269
4,exp5,0.01,0.01,0.01,0.01,531.52,2.939985230934883,1792.6845703125,315.8294127162577,-14.575874719054147,0.0,0.0,301.2535379972037,6.203945174975587,0.9258171419627649,0.0,,3.9306776661494696
5,exp6,1.0,2.0,1.0,1.0,780.6,1.6839521488793687,977.3318481445312,33400.24171606143,-1697.8405751205607,12.980000000000018,12.68,31728.061140940867,10.20327336532126,0.8790613188440044,0.013164033183911095,1.0,5.135446774522693
6,exp7,5.0,1.0,1.0,1.0,161.72,1.1652597312063262,5643.96728515625,172153.34681668802,-3003.281390319606,442.65999999999997,-11.113090388774872,169581.6123359797,15.349897454322543,0.9625675575493209,0.7956645216953661,1.0,11.379175514573339
7,exp8,1.0,5.0,1.0,1.0,920.38,3.9248098823183817,664.5220336914062,26744.49905160713,-2738.650553923333,0.0,0.0,24005.848497683794,2.6935130699486622,0.8242466723350919,0.0,,1.6845221181705796
8,exp9,1.0,5.0,20.0,12.0,905.8,4.185810836474571,629.9884643554688,26212.26858388097,-2565.9826744286574,0.0,0.0,23646.28590945233,2.5056042198395896,0.8146125427147147,0.0,,0.7039387129144148
9,exp10,1.0,0.01,0.01,0.01,163.34,1.1347738877531333,8745.6455078125,34508.63684706508,-33.37882014506506,5.1063999999998995,-0.23470377588272093,34480.12972314411,15.938677426218728,0.9661930569967894,1.0456220820705966,1.0,15.638999643500544
10,exp11,1.0,0.1,0.01,0.01,126.96,1.0375809619048346,6493.51806640625,34663.46738945804,-315.01113998103216,7.55579999999985,-0.1500311664819718,34355.86201831053,17.24329878133847,0.9642499476491319,3.1040177471037276,1.0,14.684930080974965
11,exp12,1.0,1.0,0.01,0.01,478.6,1.4066235359032815,1081.7298583984375,33874.370591938154,-938.975938200315,1.0553999999999792,0.06839999999999966,32936.51845373783,12.100780864046948,0.8893772335180012,0.1181250419716603,1.0,8.523969707682344
12,exp13,1.0,0.01,0.1,0.01,294.2,1.1260087059646264,6671.8818359375,34623.54501741017,-31.55283876978789,33.9459999999993,-0.1140608686685562,34625.82411777172,16.888053936990506,0.9643064611098243,0.5146920581010952,1.0,16.112764858124457
13,exp14,1.0,0.01,1.0,0.01,159.02,1.1304975501994656,5733.31103515625,34470.28549710192,-31.00759445231725,472.26,-0.08514302971363069,34911.45275961988,15.643855973565604,0.963701600557165,0.8965713634810343,1.0,12.63790509850674
14,exp15,1.0,0.01,0.01,0.1,125.36,1.0679782753031004,8017.19384765625,34613.115488017385,-32.07688709206443,7.122199999999863,-0.6645855486392973,34587.49621537666,16.79751567119044,0.9648691095652342,2.4835065206778455,1.0,16.4907602082123
15,exp16,1.0,0.01,0.01,1.0,154.66,1.116692772757637,7947.67138671875,34539.824690358284,-32.410552707168186,5.909199999999886,-12.102360472679138,34501.220977178426,16.186243298753475,0.9652182013892042,1.4480494020780132,1.0,15.799710150080971
16,exp17,2.0,0.01,0.01,0.01,199.3,1.1091718863020832,7734.64111328125,69013.94303169753,-31.856061416790823,6.15719999999988,-0.5251684992551803,68987.71900178152,15.925658634544519,0.964634195349885,1.606449592986837,1.0,15.783455001431273
17,exp18,3.0,0.1,0.01,0.01,214.28,1.2458844739521537,7717.9775390625,102396.11495744958,-324.9522856545452,3.7953999999999226,-0.06390398418903351,102074.89416781084,13.42889453642132,0.9653056910865455,0.612694927840373,1.0,12.810685988905249
18,exp19,1.0,0.8,0.001,0.1,526.94,1.308308616864181,1271.650146484375,34060.01252074937,-851.2018109065227,0.08950000000000014,0.08200000000000002,33208.982209842834,13.031278969459647,0.9010903310680028,0.09840571742715774,1.0,9.330527901345807
19,exp20,1.0,0.7,0.01,1.0,278.24,1.0684139801509263,1709.2232666015625,34599.09381721944,-1028.1647656512166,2.2991999999999555,7.48,33580.70825156821,16.677228776717765,0.9263420429879309,0.29895459510063854,1.0,10.5441853013883
20,exp21,1.0,0.7,0.01,0.01,331.64,1.1203503019571597,1596.161865234375,34301.70884293092,-954.960722575237,3.6837999999999296,0.1562000000000001,33350.58812035568,14.460994759903862,0.9211409416795409,0.5841552757603602,1.0,9.766252052055576
