model_name,num_timesteps,timesteps_per_actorbatch,clip_param,entcoeff,optim_epochs,optim_batchsize,nodes_per_layer,num_layers,train_time
['time_x_nodes_per_layer_exp_1'],[6000],[500],[0.1],[0],[5],[32],[1],[32],[44.38712406]
['time_x_entcoeff_exp_0'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[37.91079426]
['time_x_optim_epochs_exp_15'],[6000],[500],[0.1],[0],[15],[32],[2],[32],[62.54240799]
['time_x_num_layers_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[49.95761728]
['time_x_optim_epochs_exp_2'],[6000],[500],[0.1],[0],[2],[32],[2],[32],[33.57579207]
['time_x_clip_param_exp_0.5'],[6000],[500],[0.5],[0],[5],[32],[2],[32],[32.2453866]
['time_x_clip_param_exp_0.9'],[6000],[500],[0.9],[0],[5],[32],[2],[32],[32.65239239]
['time_x_timesteps_per_actorbatch_exp_100'],[6000],[100],[0.1],[0],[5],[32],[2],[32],[22.03099799]
['time_x_entcoeff_exp_0.5'],[6000],[500],[0.1],[0.5],[5],[32],[2],[32],[36.28860545]
['time_x_optim_batchsize_exp_64'],[6000],[500],[0.1],[0],[5],[64],[2],[32],[39.25619125]
['time_x_num_layers_exp_20'],[6000],[500],[0.1],[0],[5],[32],[2],[20],[47.21331096]
['time_x_num_timesteps_exp_6000'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[27.98855495]
['time_x_timesteps_per_actorbatch_exp_500'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[25.7260406]
['time_x_optim_batchsize_exp_10'],[6000],[500],[0.1],[0],[5],[10],[2],[32],[76.68547249]
['time_x_num_layers_exp_64'],[6000],[500],[0.1],[0],[5],[32],[2],[64],[84.76735401]
['time_x_optim_batchsize_exp_5'],[6000],[500],[0.1],[0],[5],[5],[2],[32],[114.15991735]
['time_x_num_timesteps_exp_12000'],[12000],[500],[0.1],[0],[5],[32],[2],[32],[40.28108549]
['time_x_optim_epochs_exp_10'],[6000],[500],[0.1],[0],[10],[32],[2],[32],[50.06024122]
['time_x_timesteps_per_actorbatch_exp_2000'],[6000],[2000],[0.1],[0],[5],[32],[2],[32],[31.15461373]
['time_x_timesteps_per_actorbatch_exp_250'],[6000],[250],[0.1],[0],[5],[32],[2],[32],[23.1099422]
['time_x_num_timesteps_exp_8000'],[8000],[500],[0.1],[0],[5],[32],[2],[32],[30.36856771]
['time_x_num_layers_exp_10'],[6000],[500],[0.1],[0],[5],[32],[2],[10],[37.02353883]
['time_x_optim_epochs_exp_5'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[41.00766659]
['time_x_entcoeff_exp_0.9'],[6000],[500],[0.1],[0.9],[5],[32],[2],[32],[36.83574677]
['time_x_optim_epochs_exp_1'],[6000],[500],[0.1],[0],[1],[32],[2],[32],[31.68451548]
['time_x_nodes_per_layer_exp_3'],[6000],[500],[0.1],[0],[5],[32],[3],[32],[47.35278988]
['time_x_num_timesteps_exp_10000'],[10000],[500],[0.1],[0],[5],[32],[2],[32],[32.98760796]
['time_x_clip_param_exp_0.1'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[31.15071774]
['time_x_clip_param_exp_0.2'],[6000],[500],[0.2],[0],[5],[32],[2],[32],[31.59662437]
['time_x_optim_batchsize_exp_100'],[6000],[500],[0.1],[0],[5],[100],[2],[32],[38.17094541]
['time_x_optim_batchsize_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[42.41452813]
['time_x_timesteps_per_actorbatch_exp_1000'],[6000],[1000],[0.1],[0],[5],[32],[2],[32],[30.28432441]
['time_x_nodes_per_layer_exp_2'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[43.28322434]
['time_x_optim_batchsize_exp_50'],[6000],[500],[0.1],[0],[5],[50],[2],[32],[38.8251183]
['time_x_entcoeff_exp_0.1'],[6000],[500],[0.1],[0.1],[5],[32],[2],[32],[40.83853197]
